smiles,name,bioactivity_class
Cc1ccc(cc1)[C@@H]2CC(=NN2C(=O)CSc3nnc(n3c4ccccc4)CNC(=O)Cc5ccccc5)c6cccs6,C97961718,inactive
C[C@H](C(=O)Nc1cccc(c1)S(=O)(=O)Nc2ccc(cc2)Br)NC(=O)c3ccco3,C25260070,inactive
C[C@@H]1[C@@H]([C@@H](C[C@@H](O1)O[C@@H]2CC[C@@]3([C@H]4CC[C@@]5([C@@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)/C=N/Cc7cccnc7)OC)O,C70708426,inactive
CCCCOc1ccc(cc1)C(=O)NC(=S)NNC(=O)c2ccccc2I,C14030104,inactive
Cc1ccc(cc1)c2[nH]c(c([nH+]2)S(=O)(=O)c3ccccc3)SCC(=O)Nc4ccccc4C,C12112528,inactive
c1c(cc(c(c1/C=N\Nc2[nH+]c(nc(n2)N3CCCC3)N4CCCC4)O)Br)Br,C97070944,inactive
COc1ccc2ccccc2c1[C@@H]3[C@@H]4CC=C[C@H]4c5cc(ccc5N3)S(=O)(=O)NC[C@@H]6CCCO6,C20719434,inactive
Cc1ccc(cc1N(CC(=O)Nc2ccc(cc2)S(=O)(=O)Nc3ccc(cc3)OC)S(=O)(=O)C)Cl,C01093502,inactive
CC(C)n1ncc2c(cc(nc12)C1=CC(C)(C)NC(C)(C)C1)C(=O)NCc1c(C)cc(C)[nH]c1=O,50149616,active
Cc1cc(c(c([nH+]1)SCC(=O)c2ccc(cc2)c3ccc(cc3)C(=O)CSc4c(c(cc(n4)C)C(F)(F)F)C#N)C#N)C(F)(F)F,C08396835,inactive
Cn1c2c(c(=O)[nH]c1=O)n(c([nH+]2)N/N=C/c3ccc(cc3)O)Cc4ccccc4Cl,C12558803,inactive
CN1CCCc2c1ccc(c2)[C@@H](CNC(=O)C(=O)Nc3ccc(cc3)[N+](=O)[O-])[NH+]4CCCC4,C09135481,inactive
Cc1c(c(sc1C(=O)N)NC(=O)CN[C@H](Cc2ccccc2)c3ccccc3)C(=O)OCCOC,C57289923,inactive
COC(C1CCOC1)c1cc(C)c2CCN(Cc3c(OC)cc(C)[nH]c3=O)C(=O)c2c1Cl,435574,active
C[C@@H]1CCCN(C1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3c(c4c(s3)C([NH2+]C(C4)(C)C)(C)C)C(=O)OC,C09391502,inactive
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@@H](CO[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,C85341251,inactive
CC[C@@H](C)NS(=O)(=O)c1ccc(cc1)NC(=S)NC(=O)C(C)(C)CCCOc2cc(ccc2C)C,C66201708,inactive
COC(C1CN(C)C1)c1cc(Cl)c2CCN(Cc3c(C)cc(C)[nH]c3=O)C(=O)c2c1Cl,435668,active
CC(C)(C)c1ccc(cc1)[C@@H]2C(=C(c3ccc(c(c3)Cl)OC)O)C(=O)C(=O)N2CCCn4cc[nH+]c4,C09292774,inactive
c1cc(sc1CCNS(=O)(=O)c2c(ccs2)Br)S(=O)(=O)N,C49061008,inactive
c1cc(c[nH+]c1)N([C@@H](c2ccco2)C(=O)NCc3cccs3)C(=O)C(=O)Nc4ccc(cc4)F,C12641572,inactive
CC(C)n1ncc2c(cc(nc12)C1CCN(CC1)C1CCN(CC1)S(C)(=O)=O)C(=O)NCc1c(C)cc(C)[nH]c1=O,325941,active
c1ccc(c(c1)[C@@H](CNC(=O)[C@H]2CCCN(C2)S(=O)(=O)c3ccc(cc3)F)[NH+]4CCCC4)Cl,C13003628,inactive
C[C@@H]1C[C@H](C[NH+](C1)CCCNC(=O)[C@@]2(Cn3c4cc(ccc4cc3C(=O)N2Cc5ccccc5Br)OC)C)C,C33355707,inactive
c1ccc2=[NH+]CC(=c2c1)C[C@H](C(=O)[O-])NC(=O)CS[C@@H]3NN[C@@H](N3C4CC4)Cc5cccs5,C64684747,inactive
Cc1cc(C)c(CNC(=O)c2cc(cc3n(ncc23)C2CCN(CC2)C(=O)C(C)(C)C)-c2cnn(CCN3CCOCC3)c2)c(=O)[nH]1,326101,active
CCCCOc1ccc(cc1OC)[C@@H]2C(=C(C(=O)N2CC[NH+](C)C)O)C(=O)c3ccc(cc3C)OC(C)C,C35025179,inactive
CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,C94303209,inactive
Cn1c(=O)c(c(n(c1=O)Cc2ccccc2)N)C(=O)CN3CC[NH+](CC3)C(c4ccccc4)c5ccccc5,C22927382,inactive
c1ccn2cc(nc2c1)c3ccc(cc3)NC(=O)C[C@@H]4C(=O)Nc5cc(ccc5S4)Cl,C10322472,inactive
COc1ccc(cc1)[C@@H]2[C@@H](/C(=C\3/C=[NH+]c4c3cccc4)/NN2C(=O)COC(=O)CCC5CCCC5)O,C12542396,inactive
CC[C@H](C(=O)Nc1ccc2c(c1)sc(n2)SCC(=O)Nc3nccs3)Sc4[nH+]ccn4C,C59854092,inactive
CCCCCCCCCC/N=C/[C@]12CC[C@@H](C[C@]1(CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4C5=CC(=O)OC5)O)C)O)O,C70692154,inactive
COc1cc(cc(c1OC[C@@H](c2ccc3c(c2)OCO3)O)Br)C[NH2+]CCc4ccc(cc4)F,C20877051,inactive
c1cc(ccc1/C=N/[NH+]=C(\N)/S[C@H]2CC(=O)N(C2=O)c3ccc(cc3)Br)Br,C03204710,inactive
CC(C)n1ncc2c(cc(nc12)C1=CCN(CCC(F)(F)F)CC1)C(=O)NCc1c(C)cc(C)[nH]c1=O,325993,active
CC[NH+](CC)CCN1[C@H](C(=C(C1=O)O)C(=O)c2ccc3c(c2)C[C@@H](O3)C)c4ccc(c(c4)OCC)O,C35006082,inactive
Cc1c(c2c(s1)[C@]3(c4ccccc4N(C3=O)CC(=O)Nc5ccc(cc5)OC)C(=C(O2)N)C#N)C(=O)OC,C98008979,inactive
COc1ccc(cc1OC)CCN2CC(=O)N3[C@@H](C2=O)Cc4c5ccccc5[nH]c4[C@@H]3c6ccc(cc6)[N+](=O)[O-],C01874842,inactive
Cc1cc([nH+]c2c1cc(cc2)NC(=O)CCC(=O)NCCc3ccc(c(c3)OC)OC)N4C[C@@H](C[C@@H](C4)C)C,C20138681,inactive
c1ccc2c(c1)C[C@H](NC2)C(=O)N[C@H](Cc3c[nH]c4c3cccc4)C(=O)NC5CCCCC5,C35807353,inactive
CN(C)c1ccc(cc1)[C@@H](CNC(=O)C(=O)Nc2ccc(c(c2)[N+](=O)[O-])F)[NH+]3CCc4ccccc4C3,C38667086,inactive
C[C@H](c1ccccc1)/[NH+]=C(/c2ccccc2/N=C(/c3ccccc3Cl)\O)\O,C01119099,inactive
COc1ccc(cc1)[C@@H]2C3[C@@H](N[C@H](C(C3=O)[C@H](N2)c4ccc(cc4)OC)c5ccc(cc5)OC)c6ccc(cc6)OC,C59641109,inactive
