smiles,name
c1c(Cl)ccc(c12)nc(s2)N3CCC[NH2+]CC3,AW00326
CC(C)(C)OC(=O)N1CCN(CCC1)C(=O)c2sccc2,AW00328
c1c(Cl)ccc(c12)nc(s2)N3CCN(CCC3)C(=O)Nc4c(Cl)cccc4C,AW00332
c1c(Cl)ccc(c12)nc(s2)N3CCN(CCC3)C(=O)Nc(c4C(F)(F)F)cccc4,AW00334
c1ccnc(c1C(F)(F)F)N(CCC2)CCN2C(=O)Nc3c(Cl)cccc3C,AW00335
c1ccnc(c1C(F)(F)F)N(CCC2)CCN2C(=O)Nc(c3C(F)(F)F)cccc3,AW00336
c1c(Cl)ccc(c12)nc(s2)N3CCN(CCC3)C(=S)NC4CCCCCCC4,AW00338
Cc1cccc(Cl)c1NC(=O)N2CCN(CCC2)c(cc3)ncc3C(F)(F)F,AW00339
c1cccc(c1C(F)(F)F)NC(=O)N2CCN(CCC2)c(cc3)ncc3C(F)(F)F,AW00341
c1ccc(Cl)c(Cl)c1S(=O)(=O)N2CCN(CCC2)C(=O)c3sccc3,AW00342
CN(C)/C=C(\C#N)c(cc1C(F)(F)F)ccc1,AW00343
FC(F)(F)C(=O)C/C=N/c1ccc(Cl)cc1Cl,AW00349
FC(F)(F)C(=O)C/C=N/c1ccc(Br)cc1Cl,AW00350
OCCN(CC1)CC[NH+]1Cc2c(F)cccc2,AW00354
FC(F)(F)Oc1ccc(cc1)OC[C@@H](O)C[NH2+]C(C)(CO)CO,AW00358
n1ccc(C(F)(F)F)nc1N2CC[NH+](CC2)C[C@@H](O)COc(cc3)ccc3OC(F)(F)F,AW00359
CCOC(=O)N1CC[NH+](CC1)C[C@@H](O)COc(cc2)ccc2OC(F)(F)F,AW00361
c1ccsc1C(=O)N2CC[N@H+](CCC2)C[C@@H](O)COc(cc3Cl)ccc3Cl,AW00362
c1ccccc1CS(=O)(=O)C[C@@H](O)COc(cc2)ccc2OC(F)(F)F,AW00365
c1cc(Cl)ccc1S(=O)(=O)N2CCN(CCC2)C(=O)OC(C)(C)C,AW00367
c1cc(Cl)cc(Cl)c1NC(=S)N2CCN(CCC2)C(=O)OC(C)(C)C,AW00371
c1cc(C)ccc1S(=O)(=O)[N-]C(=O)NCCNC(=O)OC(C)(C)C,AW00374
CC(C)(C)OC(=O)NCCNC(=S)NC1CCCCCCC1,AW00375
c1cc(Cl)ccc1S(=O)(=O)NNC(=S)Nc2c(F)cccc2,AW00376
c1cccc(Cl)c1C(=O)NCCNC(=O)OC(C)(C)C,AW00377
c1cc(OC)cc(OC)c1NC(=S)NCCNC(=O)OC(C)(C)C,AW00378
CC(C)(C)OC(=O)N(CCC1)CCN1C(=S)Nc2c(cccc2)N3CCOCC3,AW00380
c1cc(C)cc(C)c1NC(=S)N2CCN(CCC2)C(=O)OC(C)(C)C,AW00381
c1cc(Cl)ccc1S(=O)(=O)NCCNC(=O)OC(C)(C)C,AW00382
c1cc(C)ccc1S(=O)(=O)N2CCN(CCC2)C(=O)OC(C)(C)C,AW00383
c1cc(F)cc(F)c1NC(=S)N2CCN(CCC2)C(=O)OC(C)(C)C,AW00384
CC(C)(C)OC(=O)N1CCN(CCC1)C(=O)c2ccc(Cl)cc2,AW00386
CC(C)CNC(=S)NCCNC(=O)OC(C)(C)C,AW00387
[O-][N+](=O)c1ccc(cc1)C(=O)N(CCC2)CCN2C(=O)OC(C)(C)C,AW00388
FC(F)(F)c1ccc(cc1)NC(=O)NCCNC(=O)OC(C)(C)C,AW00390
c1sc(C)nc1-c2ccc(cc2)NC(=O)C,AW00392
CC(C)NC(=O)NCCNC(=O)OC(C)(C)C,AW00393
FC(F)(F)c(c1)cc(Cl)c(n12)nc(c2)C(=O)N(CCC3)CCN3C(=O)OC(C)(C)C,AW00394
