smiles,name,bioactivity_class
CCN(c1cc(-c2ccc(CNC[C@@H](O)CO)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697484,active
CCN(c1cc(-c2ccc(CNCCCO)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697488,active
CCN(c1cc(-c2ccc(CN3CC4(COC4)C3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697494,active
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)c(Br)c(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3701036,inactive
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(N4CCNCC4)nc3)cc3c2c(C)cn3C(C)C)c(=O)[nH]1,CHEMBL3979717,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCC(C(C)(C)C)CC1,CHEMBL3947443,active
CCOC(=O)[C@H]1CC[C@@H](N(CC)c2cc(Cl)cc(C(=O)NCc3c(C)cc(C)[nH]c3=O)c2C)CC1,CHEMBL3902888,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)nc3c2cnn3C(C)C)c(=O)[nH]1,CHEMBL3769849,active
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)NCc2ccccc2)[C@@H](O)[C@H]1O,CHEMBL3397318,inactive
CC1(C)CC(NC(=O)c2ccc(C(O)c3ccccc3)cc2)CC(C)(C)N1,CHEMBL3264756,inactive
CC1(C)CC(NC(=O)c2ccc(Oc3ccccc3C#N)c(Cl)c2)CC(C)(C)N1CCO,CHEMBL3264789,inactive
Cc1cc(C)c(CNC(=O)c2c(C)n(C(C)c3ccccc3)c3ccccc23)c(=O)[nH]1,CHEMBL3605445,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(N4CCNCC4)nc3)nc3c2cnn3C(C)C)c(=O)[nH]1,CHEMBL3770239,active
Cc1cc(C)c(CNC(=O)c2cc(C3=CC(C)(C)NC(C)(C)C3)nc3c2cnn3C(C)C)c(=O)[nH]1,CHEMBL3770922,active
Cc1cc(C)c(CNC(=O)c2cc(Br)nc3c2cnn3C2CCN(C(=O)N(C)C)CC2)c(=O)[nH]1,CHEMBL3769652,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(CO)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3769624,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(CN(C)C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3769599,active
CCN(c1cc(-c2ccc(CN3CCCN(C)CC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701006,active
CCN(c1cc(-c2ccc(CN3CCC(F)(F)CC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697471,active
CCN(c1cc(-c2ccc(CN3CCCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697477,active
CCN(c1cc(-c2ccc(CNC)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697479,active
CCN(c1cc(-c2ccc(CN(CCO)CCO)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697489,active
CCN(c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701029,active
