S.No.,smiles,name,bioactivity_class
148,CCN1c2ccccc2[C@@]3(C1=O)C(=C(C(=O)N3CC[NH+](C)C)O)C(=O)c4ccc(cc4)S(=O)(=O)N5CCCC5,C98046917,inactive
149,Cc1cc2c(c(n(c2nc1)[C@H](C)C3CCC(CC3)[NH+]4CC(C4)OC(F)F)C)C(=O)NCc5c(cc([nH]c5=O)C)SC,574988,inactive
150,COc1cc(cc(c1OC)OC)[C@@H]2C3C(=NC(=C)C2C(=O)Nc4ccc(c[nH+]4)Br)CCCC3=O,C08413470,inactive
151,CCCCOc1ccc(cc1OC)[C@@H]2C(=C(c3ccc4c(c3)OCCO4)O)C(=O)C(=O)N2Cc5ccc[nH+]c5,C08383516,inactive
152,COc1ccc(cc1)NC(=O)[C@H](c2ccc(cc2)Cl)N(Cc3ccc[nH+]c3)C(=O)CN4c5ccccc5C(=O)C4=O,C08695816,inactive
153,c1ccc(c(c1)CNC(=O)c2cc(nc3c2cc(cc3)S(=O)(=O)N4CCOCC4)c5cc[nH+]cc5)Cl,C06238475,inactive
154,Cc1cccc(c1)COc2ccc(cc2)C(=O)C3=C(C(=O)N([C@H]3c4ccc(o4)C)CCC[NH+]5CCOCC5)O,C08996821,inactive
155,COc1ccc(cc1N(CC(=O)NCCC[NH+]2CCCC2)S(=O)(=O)c3ccc(c(c3)OC)OC)Cl,C13612079,inactive
156,CCOc1ccc(cc1)[C@@H](C(=O)NC2CCCCC2)N(Cc3ccc[nH+]c3)C(=O)[C@H]4COc5ccccc5O4,C00930882,inactive
157,CCC[C@@]1([C@@H]2[C@@H]([C@H]([NH2+]1)c3ccc(cc3OC)OC)C(=O)N(C2=O)c4ccc5c(c4)OCCO5)C(=O)OCC,C12497965,inactive
158,Cc1nc2n(n1)c(c(s2)[C@@H](c3ccc(cc3)OC)[NH+]4CCN(CC4)C(c5ccccc5)c6ccccc6)O,C22852779,inactive
159,c1ccc2c(c1)c(=O)n(c(n2)SCC(=O)NC3CCCC3)CCC[NH+]4CCN(CC4)c5cccc(c5)Cl,C33357842,inactive
160,CCOc1cc(ccc1OCCC(C)C)[C@H]2C(=C(C(=O)N2Cc3cc[nH+]cc3)O)C(=O)c4ccc(cc4)OC,C33364523,inactive
161,CCCCOc1ccc(cc1)[C@H]2C(=C(C(=O)N2CC[NH+](CC)CC)O)C(=O)c3ccc(cc3)Br,C34917942,inactive
162,Cc1nc2n(n1)c(c(s2)[C@H](c3cccc(c3)OC)N4CC[NH+](CC4)C(c5ccccc5)c6ccccc6)O,C22784281,inactive
163,c1ccc(cc1)/C=C/C(=O)C2=C(C(=O)N([C@@H]2c3cccc(c3)Oc4ccccc4)CCC[NH+]5CCOCC5)O,C35443657,inactive
